# gain-bound.js, arm (0,-1) of the ndpxhts24 seed, foot 1

## unconditional: the distance uncertainty is the box's own blanket pad
```
box +-0.01u, +-0.025 deg, arm (0,-1), foot 1, 138 substeps, rim 67.167
distance uncertainty: the box's blanket pad (no assumption about the set's shape)

first substep with the WHOLE box certainly in contact: 13

  k    deg   |   lambda lo      dirDot lo   |  gain bound   running sum  | note
   42  14.00  |    6.476e-2     0.52677  |    3.401e-2     0.48085  | 
   43  14.33  |    6.508e-2     0.53257  |    3.456e-2     0.51541  | 
   44  14.67  |    6.541e-2     0.53836  |    3.512e-2     0.55053  | 
   45  15.00  |    6.574e-2     0.54415  |    3.568e-2     0.58621  | 
   46  15.33  |    6.607e-2     0.54994  |    3.624e-2     0.62245  | 
   47  15.67  |    6.640e-2     0.55573  |    3.681e-2     0.65925  | 
   48  16.00  |    6.674e-2     0.56151  |    3.738e-2     0.69663  | 
   49  16.33  |    6.707e-2     0.56729  |    3.795e-2     0.73458  | 
   50  16.67  |    6.740e-2     0.57307  |    3.853e-2     0.77312  | 
   51  17.00  |    6.774e-2     0.57885  |    3.912e-2     0.81223  | 
   52  17.33  |    6.808e-2     0.58462  |    3.971e-2     0.85194  | 
   53  17.67  |    6.841e-2     0.59039  |    4.030e-2     0.89224  | 
   54  18.00  |    6.875e-2     0.59616  |    4.089e-2     0.93313  | 
   55  18.33  |    6.909e-2     0.60185  |    4.149e-2     0.97462  | 
   56  18.67  |    6.942e-2     0.60751  |    4.208e-2     1.01670  | 
   57  19.00  |    6.976e-2     0.61317  |    4.268e-2     1.05939  | 
   58  19.33  |    7.010e-2     0.61882  |    4.329e-2     1.10268  | 
   59  19.67  |    7.044e-2     0.62447  |    4.390e-2     1.14657  | 
   60  20.00  |    7.078e-2     0.63010  |    4.451e-2     1.19108  | 
   61  20.33  |    7.112e-2     0.63573  |    4.513e-2     1.23621  | 
   62  20.67  |    7.146e-2     0.64136  |    4.575e-2     1.28196  | 
   63  21.00  |    7.181e-2     0.64697  |    4.637e-2     1.32833  | 
   64  21.33  |    7.215e-2     0.65258  |    4.700e-2     1.37532  | 
   65  21.67  |    7.249e-2     0.65818  |    4.763e-2     1.42295  | 
   66  22.00  |    7.284e-2     0.66377  |    4.826e-2     1.47122  | 
   67  22.33  |    7.319e-2     0.66935  |    4.890e-2     1.52012  | 
   68  22.67  |    7.353e-2     0.67492  |    4.955e-2     1.56967  | 
   69  23.00  |    7.388e-2     0.68048  |    5.019e-2     1.61986  | 
   70  23.33  |    7.423e-2     0.68603  |    5.084e-2     1.67071  | 
   71  23.67  |    6.906e-2     0.65211  |    4.496e-2     1.71566  | 
   72  24.00  |    7.290e-2     0.65811  |    4.790e-2     1.76356  | 
   73  24.33  |    7.905e-2     0.66418  |    5.244e-2     1.81600  | 
   74  24.67  |    7.981e-2     0.70390  |    5.612e-2     1.87212  | 
   75  25.00  |    7.532e-2     0.64100  |    4.822e-2     1.92034  | 
   76  25.33  |    7.524e-2     0.63922  |    4.803e-2     1.96837  | 
   77  25.67  |    8.588e-2     0.89040  |    7.641e-2     2.04478  | 
   78  26.00  |    8.589e-2     0.89239  |    7.658e-2     2.12136  | 
   79  26.33  |    8.589e-2     0.89430  |    7.675e-2     2.19811  | 
   80  26.67  |    8.589e-2     0.89614  |    7.690e-2     2.27501  | 
   81  27.00  |    8.588e-2     0.89789  |    7.704e-2     2.35205  | 
   82  27.33  |    8.586e-2     0.89955  |    7.717e-2     2.42922  | 
   83  27.67  |    8.584e-2     0.90112  |    7.729e-2     2.50651  | 
   84  28.00  |    8.581e-2     0.90259  |    7.739e-2     2.58390  | 
   85  28.33  |    8.578e-2     0.90397  |    7.748e-2     2.66137  | 
   86  28.67  |    8.574e-2     0.90523  |    7.755e-2     2.73892  | 
   87  29.00  |    8.570e-2     0.90639  |    7.761e-2     2.81653  | 
   88  29.33  |    8.564e-2     0.90743  |    7.765e-2     2.89418  | 
   89  29.67  |    8.558e-2     0.90834  |    7.767e-2     2.97185  | 
   90  30.00  |    8.551e-2     0.90912  |    7.767e-2     3.04952  | 
   91  30.33  |    8.543e-2     0.90976  |    7.766e-2     3.12718  | 
   92  30.67  |    8.535e-2     0.91025  |    7.762e-2     3.20480  | 
   93  31.00  |    8.525e-2     0.91058  |    7.756e-2     3.28236  | 
   94  31.33  |    8.514e-2     0.91073  |    7.747e-2     3.35983  | 
   95  31.67  |    8.502e-2     0.91070  |    7.736e-2     3.43719  | 
   96  32.00  |    8.489e-2     0.91046  |    7.722e-2     3.51441  | 
   97  32.33  |           -           -  |    0.000e+0     3.51441  | REFUSED: two leg pairs can touch: (0,0) 2.84, (1,2) 2.93
   98  32.67  |           -           -  |    0.000e+0     3.51441  | REFUSED: two leg pairs can touch: (0,0) 2.84, (1,2) 2.91
   99  33.00  |           -           -  |    0.000e+0     3.51441  | REFUSED: two leg pairs can touch: (0,0) 2.84, (1,2) 2.89
  100  33.33  |           -           -  |    0.000e+0     3.51441  | REFUSED: two leg pairs can touch: (0,0) 2.84, (1,2) 2.87
  101  33.67  |           -           -  |    0.000e+0     3.51441  | REFUSED: two leg pairs can touch: (0,0) 2.85, (1,2) 2.86
  102  34.00  |           -           -  |    0.000e+0     3.51441  | REFUSED: two leg pairs can touch: (0,0) 2.85, (1,2) 2.85
  103  34.33  |           -           -  |    0.000e+0     3.51441  | REFUSED: two leg pairs can touch: (0,0) 2.86, (1,2) 2.85
  104  34.67  |           -           -  |    0.000e+0     3.51441  | REFUSED: two leg pairs can touch: (0,0) 2.87, (1,2) 2.84
  105  35.00  |           -           -  |    0.000e+0     3.51441  | REFUSED: two leg pairs can touch: (0,0) 2.87, (1,2) 2.84
  106  35.33  |           -           -  |    0.000e+0     3.51441  | REFUSED: two leg pairs can touch: (0,0) 2.88, (1,2) 2.83
  107  35.67  |           -           -  |    0.000e+0     3.51441  | REFUSED: two leg pairs can touch: (0,0) 2.88, (1,2) 2.83

starting radius, min over the box: 63.9644u; rim 67.167u; to clear it the bound must sum to 3.2026u
certified sum over the sweep: 3.5144u -- ENOUGH: the throw follows from H3 alone, given the tube
substeps: 84 bounded, 2 partial-contact (counted zero), 42 refused by analyse

TUBE CHECK (sampled, 200 poses started in +-0.0125u, up to each pose's throw): worst deviation from the centre 0.0170u at substep 84, 0.0502 deg
  tube half-width assumed: 0.025u, 0.0619 deg -- the sample STAYS INSIDE it
```

## where it dies: the same run at wider tubes
```
--- tube +-0.05u ---
first substep with the WHOLE box certainly in contact: 13
starting radius, min over the box: 63.9072u; rim 67.167u; to clear it the bound must sum to 3.2598u
certified sum over the sweep: 2.6463u -- SHORT by 0.6135u
substeps: 82 bounded, 4 partial-contact (counted zero), 44 refused by analyse
--- tube +-0.1u ---
first substep with the WHOLE box certainly in contact: 13
starting radius, min over the box: 63.7928u; rim 67.167u; to clear it the bound must sum to 3.3742u
certified sum over the sweep: 0.2933u -- SHORT by 3.0809u
substeps: 77 bounded, 7 partial-contact (counted zero), 49 refused by analyse
```
