######## node nn/throw-audit/park-monotone.js 1 0 -1 1 0.1 200
box +-0.1u, +-0.248 deg, 200 poses, arm (0,-1), foot 1, 138 substeps, rim 67.167
centre thrown at substep 84

MONOTONE IN THE SUBSTEP: yes, for every pose over the whole sweep
first push over the box: substep 10; every pose thrown by substep 85

  k    deg    gain: min       max      |  radius: min      max     spread  |  regimes  thrown
   15   5.00   0.000000  0.009176  |   63.589   64.504   0.4339  |    2      0/200
   16   5.33   0.000000  0.009500  |   63.598   64.512   0.4337  |    2      0/200
   17   5.67   0.000000  0.009828  |   63.608   64.521   0.4336  |    2      0/200
   18   6.00   0.000000  0.010160  |   63.617   64.531   0.4334  |    2      0/200
   19   6.33   0.003976  0.010495  |   63.628   64.540   0.4333  |    1      0/200
   20   6.67   0.009716  0.010834  |   63.638   64.550   0.4331  |    1      0/200
   21   7.00   0.010041  0.011176  |   63.649   64.561   0.4330  |    1      0/200
   22   7.33   0.010371  0.011522  |   63.660   64.571   0.4328  |    1      0/200
   23   7.67   0.010703  0.011871  |   63.672   64.582   0.4327  |    1      0/200
   24   8.00   0.011040  0.012224  |   63.684   64.593   0.4325  |    1      0/200
   25   8.33   0.011379  0.013166  |   63.697   64.605   0.4324  |    1      0/200
   26   8.67   0.011723  0.030665  |   63.728   64.617   0.4322  |    1      0/200
   27   9.00   0.012070  0.031209  |   63.759   64.629   0.4321  |    1      0/200
   28   9.33   0.012420  0.032005  |   63.791   64.642   0.4319  |    1      0/200
   29   9.67   0.012775  0.032835  |   63.823   64.655   0.4318  |    1      0/200
   30  10.00   0.013132  0.033393  |   63.856   64.668   0.4316  |    1      0/200
   31  10.33   0.013494  0.033963  |   63.890   64.682   0.4315  |    1      0/200
   32  10.67   0.013859  0.034537  |   63.924   64.696   0.4171  |    1      0/200
   33  11.00   0.014228  0.035115  |   63.958   64.710   0.4064  |    1      0/200
   34  11.33   0.014601  0.035697  |   63.993   64.725   0.4071  |    1      0/200
   35  11.67   0.015077  0.036284  |   64.029   64.740   0.4078  |    1      0/200
   36  12.00   0.015553  0.036876  |   64.066   64.756   0.4084  |    1      0/200
   37  12.33   0.015934  0.037471  |   64.103   64.772   0.4091  |    1      0/200
   38  12.67   0.033966  0.038071  |   64.140   64.806   0.4098  |    1      0/200
   39  13.00   0.036521  0.038675  |   64.178   64.843   0.4105  |    1      0/200
   40  13.33   0.037110  0.039284  |   64.217   64.880   0.4112  |    1      0/200
   41  13.67   0.037702  0.039897  |   64.256   64.918   0.4119  |    1      0/200
   42  14.00   0.038299  0.040514  |   64.296   64.957   0.4126  |    1      0/200
   43  14.33   0.038901  0.041135  |   64.337   64.996   0.4133  |    1      0/200
   44  14.67   0.039506  0.041761  |   64.378   65.036   0.4140  |    1      0/200
   45  15.00   0.040116  0.042391  |   64.420   65.077   0.4147  |    1      0/200
   46  15.33   0.040730  0.043025  |   64.463   65.118   0.4155  |    1      0/200
   47  15.67   0.041348  0.043663  |   64.506   65.160   0.4162  |    1      0/200
   48  16.00   0.041970  0.044305  |   64.550   65.202   0.4169  |    1      0/200
   49  16.33   0.042597  0.044952  |   64.594   65.245   0.4177  |    1      0/200
   50  16.67   0.043228  0.045603  |   64.639   65.289   0.4184  |    1      0/200
   51  17.00   0.043863  0.046257  |   64.685   65.333   0.4192  |    1      0/200
   52  17.33   0.044502  0.046916  |   64.731   65.378   0.4200  |    1      0/200
   53  17.67   0.045145  0.047579  |   64.778   65.424   0.4207  |    1      0/200
   54  18.00   0.045792  0.048246  |   64.826   65.470   0.4215  |    1      0/200
   55  18.33   0.046443  0.048917  |   64.874   65.517   0.4223  |    1      0/200
   56  18.67   0.047098  0.049593  |   64.924   65.565   0.4230  |    1      0/200
   57  19.00   0.047758  0.050272  |   64.973   65.613   0.4238  |    1      0/200
   58  19.33   0.048421  0.050955  |   65.024   65.662   0.4246  |    1      0/200
   59  19.67   0.049088  0.051642  |   65.075   65.711   0.4254  |    1      0/200
   60  20.00   0.049759  0.052333  |   65.127   65.761   0.4262  |    1      0/200
   61  20.33   0.050435  0.053027  |   65.179   65.812   0.4270  |    1      0/200
   62  20.67   0.051114  0.053726  |   65.232   65.864   0.4279  |    1      0/200
   63  21.00   0.051797  0.054428  |   65.286   65.916   0.4287  |    1      0/200
   64  21.33   0.052483  0.055135  |   65.341   65.969   0.4295  |    1      0/200
   65  21.67   0.053174  0.055844  |   65.396   66.022   0.4303  |    1      0/200
   66  22.00   0.053868  0.056558  |   65.452   66.077   0.4312  |    1      0/200
   67  22.33   0.054566  0.060142  |   65.512   66.132   0.4320  |    1      0/200
   68  22.67   0.055268  0.085424  |   65.598   66.187   0.4329  |    1      0/200
   69  23.00   0.055974  0.086333  |   65.684   66.244   0.4337  |    1      0/200
   70  23.33   0.056683  0.087387  |   65.770   66.301   0.4346  |    1      0/200
   71  23.67   0.057396  0.087938  |   65.857   66.359   0.4354  |    1      0/200
   72  24.00   0.058112  0.088551  |   65.944   66.417   0.4363  |    1      0/200
   73  24.33   0.058832  0.089041  |   66.031   66.477   0.4373  |    1      0/200
   74  24.67   0.059556  0.089704  |   66.119   66.537   0.4384  |    1      0/200
   75  25.00   0.060283  0.090051  |   66.207   66.597   0.4394  |    1      0/200
   76  25.33   0.061222  0.090397  |   66.295   66.659   0.4405  |    1      0/200
   77  25.67   0.062155  0.090894  |   66.383   66.721   0.4416  |    1      0/200
   78  26.00   0.062890  0.091102  |   66.472   66.784   0.4427  |    1      0/200
   79  26.33   0.089050  0.091548  |   66.561   66.875   0.4438  |    1      0/200
   80  26.67   0.089290  0.091796  |   66.651   66.967   0.4449  |    1      0/200
   81  27.00   0.089514  0.092131  |   66.740   67.059   0.4460  |    1      0/200
   82  27.33   0.089721  0.092462  |   66.830   67.151   0.4471  |    1      0/200
   83  27.67   0.089909  0.092785  |   66.920   67.244   0.4482  |    1      35/200
   84  28.00   0.090079  0.093100  |   67.010   67.337   0.4493  |    1      129/200
   85  28.33   0.090227  0.093406  |   67.100   67.431   0.4505  |    1      194/200
   86  28.67   0.090353  0.093704  |   67.190   67.524   0.4516  |    1      200/200
   87  29.00   0.090455  0.093992  |   67.281   67.618   0.4528  |    1      200/200
   88  29.33   0.090529  0.094270  |   67.371   67.713   0.4539  |    1      200/200
   89  29.67   0.090575  0.094538  |   67.462   67.807   0.4551  |    1      200/200
   90  30.00   0.090589  0.094796  |   67.553   67.902   0.4562  |    1      200/200
   91  30.33   0.090567  0.095042  |   67.643   67.997   0.4574  |    1      200/200
   92  30.67   0.090507  0.095277  |   67.734   68.092   0.4586  |    1      200/200
   93  31.00   0.089989  0.095499  |   67.824   68.188   0.4598  |    1      200/200
   94  31.33   0.090489  0.095709  |   67.914   68.284   0.4610  |    1      200/200
   95  31.67   0.090910  0.095904  |   68.005   68.379   0.4622  |    1      200/200
   96  32.00   0.091369  0.096085  |   68.097   68.476   0.4635  |    1      200/200
   97  32.33   0.091551  0.108348  |   68.190   68.572   0.4647  |    1      200/200
   98  32.67   0.092031  0.121734  |   68.284   68.677   0.4660  |    1      200/200
   99  33.00   0.090539  0.127974  |   68.378   68.797   0.4672  |    1      200/200
  100  33.33   0.086789  0.125343  |   68.473   68.887   0.4618  |    1      200/200
  101  33.67   0.082713  0.123743  |   68.568   69.004   0.4523  |    1      200/200
  102  34.00   0.077259  0.124294  |   68.691   69.084   0.4388  |    1      200/200
  103  34.33   0.078755  0.117324  |   68.782   69.191   0.4268  |    1      200/200
  104  34.67   0.073663  0.117240  |   68.899   69.270   0.4153  |    2      200/200
  105  35.00   0.075637  0.111505  |   68.988   69.367   0.4056  |    2      200/200
  106  35.33   0.077502  0.141116  |   69.100   69.465   0.3964  |    2      200/200

H3 (radial gain bounded below over the box, CONTACT substeps only): min gain 0.003976u at substep 19 -- POSITIVE throughout
